name,x,y,plst,dem,at
USC00046136,-121.0008,39.2467,31.83,847.6,30
USC00046144,-122.0325,37.5147,40.45,3,22.8
USC00046161,-118.5939,34.3933,44.11,538,30.6
USC00046168,-121.0178,37.2811,39.01,27.4,35.6
USC00046174,-120.4864,38.0047,35.43,292.6,34.4
USC00046175,-117.8803,33.6025,39.79,3,19.4
USC00046198,-115.4772,33.2717,57.95,22.9,41.7
USC00046252,-119.5097,37.2328,37.35,806.2,33.9
USC00046263,-118.525,34.2447,47.05,275.5,27.8
USC00046336,-122.2642,37.7983,38.47,9.1,20
USC00046386,-116.1689,33.1553,59.37,118.9,40.6
USC00046399,-119.2275,34.4478,37.71,227.1,27.8
USC00046498,-124.0192,41.3619,19.57,48.8,18.3
USC00046506,-122.1997,39.7458,48.01,77.4,31.7
USC00046508,-123.5317,41.3089,31.23,122.8,33.9
USC00046521,-121.5531,39.5178,47.69,52.1,33.9
USC00046599,-122.4717,37.5917,30.01,144.8,18.9
USC00046610,-121.3492,36.715,33.93,275.8,25.6
USC00046624,-118.0939,34.5883,51.49,796.1,33.3
USC00046635,-116.5097,33.8275,53.61,129.5,38.3
USC00046646,-122.1403,37.4436,37.47,7.6,23.9
USC00046657,-116.84,33.3781,32.63,1691.6,26.7
USC00046685,-121.6242,39.7539,39.47,533.4,31.1
USC00046699,-114.1708,34.2903,52.48,224.9,38.9
USC00046719,-118.1447,34.1483,45.13,263.3,29.4
USC00046730,-120.6856,35.6278,41.33,222.5,23.9
USC00046773,-117.8969,34.5025,49.61,945.2,33.9
USC00046826,-122.6078,38.2578,39.91,6.1,23.3
USC00046926,-121.1822,36.4819,41.87,398.4,32.2
USC00046960,-120.8244,38.6956,42.67,563.9,32.8
USC00047050,-117.7658,34.0817,44.79,304.5,28.9
USC00047085,-120.4719,39.8053,42.91,1478.3,28.3
USC00047109,-123.1286,39.3619,43.11,310.3,35.6
USC00047150,-120.6953,36.1883,46.91,701,34.4
USC00047195,-120.9475,39.9367,40.27,1042.4,30
USC00047253,-117.6525,35.3692,54.01,1088.1,33.9
USC00047306,-117.1947,34.0369,45.35,429.8,30.6
USC00047339,-122.2386,37.4767,40.49,9.4,24.4
USC00047404,-123.7931,40.0261,26.55,153.3,26.7
USC00047414,-122.3772,37.9192,32.23,6.1,17.2
USC00047643,-122.4714,38.5067,41.17,68.6,24.4
USC00047668,-121.6664,36.6594,29.33,13.7,18.9
USC00047741,-117.2258,32.7672,28.85,4.6,20
USC00047767,-122.5053,37.7281,23.32,2.4,14.4
USC00047785,-118.1,34.1061,44.55,137.2,26.1
USC00047813,-116.9583,33.7869,49.47,475.5,32.2
USC00047851,-120.6619,35.3056,39.79,93.9,20
USC00047880,-122.5372,37.9983,36.99,36.6,20
USC00047888,-117.8667,33.7442,44.73,41.1,25.6
USC00047902,-119.6844,34.4167,35.74,1.5,23.3
USC00047916,-121.9911,36.9906,32.19,39.6,18.9
USC00047953,-118.4997,34.0075,39.01,4.3,18.9
USC00047965,-122.6978,38.4381,39.33,53,22.8
USC00048025,-123.1331,41.3011,34.15,661.1,33.9
USC00048045,-124.1036,40.4831,22.55,41.5,20
USC00048122,-119.1458,35.4867,42.21,123.1,35.6
USC00048135,-122.4161,40.7142,37.77,327.7,36.7
USC00048200,-116.2708,35.9717,49.79,471.2,38.9
USC00048273,-122.185,37.3133,28.61,691.9,22.2
USC00048351,-122.4622,38.2994,40.09,29.6,24.4
USC00048353,-120.3872,37.9672,40.03,510.5,31.7
